study,pmid,doi,vector,vector_subsp,vector_strain,vector_origin_country,vector_origin_locality,vector_origin_year,vector_gen,virus,viral_lineage,viral_strain,viral_gen_bank_accession,viral_origin_locality,viral_origin_year,viral_history_passage,viral_history_freshness,exposure_route,host_exp,host_lineage_origin,diagnostic_virem,titer,titer_units,dose,dose_units,temp_o_c_reared,temp_o_c_eit,dpi,coinfected,sample_31,diagnostic_32,number_tested_33,number_positive_34,sample_35,diagnostic_36,number_tested_37,number_positive_38,sample_39,diagnostic_40,number_tested_41,number_positive_42,sample_43,diagnostic_44,number_tested_45,number_positive_46,sample_47,diagnostic_48,number_tested_49,number_positive_50
Adelman et al. 2001 Insect Mol Biol,11437918,10.1046/j.1365-2583.2001.00267.x,Aedes aegypti,NA,Rexville D,United States of America,Puerto Rico,NA,NA,Dengue virus,DENV1,Hawaii,NA,NA,NA,NA,NA,intrathoracic injection,NA,NA,NA,NA,NA,3000,PFU,28ºC,28ºC,14,no,head,IFA,73,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelman et al. 2001 Insect Mol Biol,11437918,10.1046/j.1365-2583.2001.00267.x,Aedes aegypti,NA,Rexville D,United States of America,Puerto Rico,NA,NA,Dengue virus,DENV2,Jamaica,NA,NA,NA,NA,NA,intrathoracic injection,NA,NA,NA,NA,NA,3000,PFU,28ºC,28ºC,14,no,head,IFA,26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelman et al. 2001 Insect Mol Biol,11437918,10.1046/j.1365-2583.2001.00267.x,Aedes aegypti,NA,Rexville D,United States of America,Puerto Rico,NA,NA,Dengue virus,DENV3,H-87,NA,NA,NA,NA,NA,intrathoracic injection,NA,NA,NA,NA,NA,3000,PFU,28ºC,28ºC,14,no,head,IFA,75,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelman et al. 2001 Insect Mol Biol,11437918,10.1046/j.1365-2583.2001.00267.x,Aedes aegypti,NA,Rexville D,United States of America,Puerto Rico,NA,NA,Dengue virus,DENV4,H-241,NA,NA,NA,NA,NA,intrathoracic injection,NA,NA,NA,NA,NA,3000,PFU,28ºC,28ºC,14,no,head,IFA,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2002 Am J Trop Med Hyg,12363070,10.4269/ajtmh.2002.67.85,Aedes aegypti,NA,NA,United States of America,Puerto Rico,NA,NA,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,2 passages C6/36 cells,fresh,bloodmeal,NA,NA,NA,7.5-8.5log10,TCID50/ml,NA,NA,27ºC,27ºC,14,no,head,IFA,568,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2002 Am J Trop Med Hyg,12363070,10.4269/ajtmh.2002.67.85,Aedes aegypti,NA,NA,Mexico,"Hermosillo, Sonora",NA,F1,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,2 passages C6/36 cells,fresh,bloodmeal,NA,NA,NA,7.5-8.5log10,TCID50/ml,NA,NA,27ºC,27ºC,14,no,head,IFA,55,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2002 Am J Trop Med Hyg,12363070,10.4269/ajtmh.2002.67.85,Aedes aegypti,NA,NA,Mexico,"Guaymas, Sonora",NA,F1,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,2 passages C6/36 cells,fresh,bloodmeal,NA,NA,NA,7.5-8.5log10,TCID50/ml,NA,NA,27ºC,27ºC,14,no,head,IFA,39,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2002 Am J Trop Med Hyg,12363070,10.4269/ajtmh.2002.67.85,Aedes aegypti,NA,NA,Mexico,"Culiacan, Sinoloa",NA,F1-3,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,2 passages C6/36 cells,fresh,bloodmeal,NA,NA,NA,7.5-8.5log10,TCID50/ml,NA,NA,27ºC,27ºC,14,no,head,IFA,151,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2002 Am J Trop Med Hyg,12363070,10.4269/ajtmh.2002.67.85,Aedes aegypti,NA,NA,Mexico,"Mazatlan, Sinaloa",NA,F1,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,2 passages C6/36 cells,fresh,bloodmeal,NA,NA,NA,7.5-8.5log10,TCID50/ml,NA,NA,27ºC,27ºC,14,no,head,IFA,84,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2002 Am J Trop Med Hyg,12363070,10.4269/ajtmh.2002.67.85,Aedes aegypti,NA,NA,Mexico,"Puerto Vallarta, Jalisco",NA,F1,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,2 passages C6/36 cells,fresh,bloodmeal,NA,NA,NA,7.5-8.5log10,TCID50/ml,NA,NA,27ºC,27ºC,14,no,head,IFA,80,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2002 Am J Trop Med Hyg,12363070,10.4269/ajtmh.2002.67.85,Aedes aegypti,NA,NA,Mexico,"Manzanillos, Colima",NA,F1,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,2 passages C6/36 cells,fresh,bloodmeal,NA,NA,NA,7.5-8.5log10,TCID50/ml,NA,NA,27ºC,27ºC,14,no,head,IFA,117,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2002 Am J Trop Med Hyg,12363070,10.4269/ajtmh.2002.67.85,Aedes aegypti,NA,NA,Mexico,"Lazaro Cardenas, Michoacan",NA,F1,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,2 passages C6/36 cells,fresh,bloodmeal,NA,NA,NA,7.5-8.5log10,TCID50/ml,NA,NA,27ºC,27ºC,14,no,head,IFA,105,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2002 Am J Trop Med Hyg,12363070,10.4269/ajtmh.2002.67.85,Aedes aegypti,NA,NA,Mexico,"Ixtapa Zihuatanejo, Guerrero",NA,F1,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,2 passages C6/36 cells,fresh,bloodmeal,NA,NA,NA,7.5-8.5log10,TCID50/ml,NA,NA,27ºC,27ºC,14,no,head,IFA,68,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2002 Am J Trop Med Hyg,12363070,10.4269/ajtmh.2002.67.85,Aedes aegypti,NA,NA,Mexico,"Coyuca de Benitez, Guerrero",NA,F1,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,2 passages C6/36 cells,fresh,bloodmeal,NA,NA,NA,7.5-8.5log10,TCID50/ml,NA,NA,27ºC,27ºC,14,no,head,IFA,45,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2002 Am J Trop Med Hyg,12363070,10.4269/ajtmh.2002.67.85,Aedes aegypti,NA,NA,Mexico,"Puerto Escondido, Oaxaca",NA,F1-2,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,2 passages C6/36 cells,fresh,bloodmeal,NA,NA,NA,7.5-8.5log10,TCID50/ml,NA,NA,27ºC,27ºC,14,no,head,IFA,148,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bennett et al. 2002 Am J Trop Med Hyg,12363070,10.4269/ajtmh.2002.67.85,Aedes aegypti,NA,NA,Mexico,"Tapachula I, Chiapas",NA,F1-2,Dengue virus,DENV2,JAM1409,NA,Jamaica,1983,2 passages C6/36 cells,fresh,bloodmeal,NA,NA,NA,7.5-8.5log10,TCID50/ml,NA,NA,27ºC,27ºC,14,no,head,IFA,108,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
